Closed Subgraphs for countries
The closed subgraph is ('A', 'A', 'A')
The closed subgraph is ('A', 'A', 'E')
The closed subgraph is ('A', 'A', 'K')
The closed subgraph is ('A', 'A', 'N')
The closed subgraph is ('A', 'A', 'O')
The closed subgraph is ('A', 'A', 'Q')
The closed subgraph is ('A', 'A', 'R')
The closed subgraph is ('A', 'A', 'Y')
The closed subgraph is ('A', 'C', 'N')
The closed subgraph is ('A', 'C', 'O')
The closed subgraph is ('A', 'D', 'N')
The closed subgraph is ('A', 'D', 'O')
The closed subgraph is ('A', 'E', 'A')
The closed subgraph is ('A', 'E', 'E')
The closed subgraph is ('A', 'E', 'K')
The closed subgraph is ('A', 'E', 'N')
The closed subgraph is ('A', 'E', 'O')
The closed subgraph is ('A', 'E', 'Q')
The closed subgraph is ('A', 'E', 'R')
The closed subgraph is ('A', 'E', 'Y')
The closed subgraph is ('A', 'G', 'Y')
The closed subgraph is ('A', 'K', 'A')
The closed subgraph is ('A', 'K', 'E')
The closed subgraph is ('A', 'K', 'K')
The closed subgraph is ('A', 'K', 'N')
The closed subgraph is ('A', 'K', 'O')
The closed subgraph is ('A', 'K', 'Q')
The closed subgraph is ('A', 'K', 'R')
The closed subgraph is ('A', 'K', 'Y')
The closed subgraph is ('A', 'L', 'N')
The closed subgraph is ('A', 'L', 'O')
The closed subgraph is ('A', 'M', 'O')
The closed subgraph is ('A', 'N', 'A')
The closed subgraph is ('A', 'N', 'C')
The closed subgraph is ('A', 'N', 'D')
The closed subgraph is ('A', 'N', 'E')
The closed subgraph is ('A', 'N', 'K')
The closed subgraph is ('A', 'N', 'L')
The closed subgraph is ('A', 'N', 'N')
The closed subgraph is ('A', 'N', 'O')
The closed subgraph is ('A', 'N', 'Q')
The closed subgraph is ('A', 'N', 'R')
The closed subgraph is ('A', 'N', 'Y')
The closed subgraph is ('A', 'O', 'A')
The closed subgraph is ('A', 'O', 'C')
The closed subgraph is ('A', 'O', 'D')
The closed subgraph is ('A', 'O', 'E')
The closed subgraph is ('A', 'O', 'K')
The closed subgraph is ('A', 'O', 'L')
The closed subgraph is ('A', 'O', 'M')
The closed subgraph is ('A', 'O', 'N')
The closed subgraph is ('A', 'O', 'O')
The closed subgraph is ('A', 'O', 'Q')
The closed subgraph is ('A', 'O', 'R')
The closed subgraph is ('A', 'O', 'Y')
The closed subgraph is ('A', 'Q', 'A')
The closed subgraph is ('A', 'Q', 'E')
The closed subgraph is ('A', 'Q', 'K')
The closed subgraph is ('A', 'Q', 'N')
The closed subgraph is ('A', 'Q', 'O')
The closed subgraph is ('A', 'Q', 'Q')
The closed subgraph is ('A', 'Q', 'R')
The closed subgraph is ('A', 'Q', 'Y')
The closed subgraph is ('A', 'R', 'A')
The closed subgraph is ('A', 'R', 'E')
The closed subgraph is ('A', 'R', 'K')
The closed subgraph is ('A', 'R', 'N')
The closed subgraph is ('A', 'R', 'O')
The closed subgraph is ('A', 'R', 'Q')
The closed subgraph is ('A', 'R', 'R')
The closed subgraph is ('A', 'R', 'Y')
The closed subgraph is ('A', 'U', 'Y')
The closed subgraph is ('A', 'Y', 'A')
The closed subgraph is ('A', 'Y', 'E')
The closed subgraph is ('A', 'Y', 'G')
The closed subgraph is ('A', 'Y', 'K')
The closed subgraph is ('A', 'Y', 'N')
The closed subgraph is ('A', 'Y', 'O')
The closed subgraph is ('A', 'Y', 'Q')
The closed subgraph is ('A', 'Y', 'R')
The closed subgraph is ('A', 'Y', 'U')
The closed subgraph is ('A', 'Y', 'Y')
The closed subgraph is ('C', 'A', 'N')
The closed subgraph is ('C', 'A', 'O')
The closed subgraph is ('C', 'N', 'A')
The closed subgraph is ('C', 'O', 'A')
The closed subgraph is ('D', 'A', 'N')
The closed subgraph is ('D', 'A', 'O')
The closed subgraph is ('D', 'N', 'A')
The closed subgraph is ('D', 'O', 'A')
The closed subgraph is ('E', 'A', 'A')
The closed subgraph is ('E', 'A', 'E')
The closed subgraph is ('E', 'A', 'K')
The closed subgraph is ('E', 'A', 'N')
The closed subgraph is ('E', 'A', 'O')
The closed subgraph is ('E', 'A', 'Q')
